"Khatchig Mouradian is a journalist, writer and translator born in Lebanon .","(Khatchig Mouradian, place of birth, Lebanon)"
"Ross Batty (born 20 September 1986 in England) a former Barnard Castle School pupil, is a rugby union player for the Bath in the Aviva Premiership .","(Ross Batty, place of birth, England)"
"Born in Buffalo, New York, Manson graduated in 1975 from the Nova Scotia College of Art and Design in Halifax, Nova Scotia, having specialized in printmaking .","(Christopher Manson, place of birth, Buffalo)"
"Born Jane Eliza Lathrop in Albany, New York, she was the daughter of Dyer and Jane Anne (Shields) Lathrop .","(Jane Stanford, place of birth, Albany)"
"Leonard D Wexler (b. 1924 in Brooklyn, NY) is a federal judge for the United States District Court for the Eastern District of New York .","(Leonard D. Wexler, place of birth, Brooklyn)"
"George Zarkadakis () is novelist, poet, playwright, and popular science writer, born in Athens in 1964 .","(George Zarkadakis, place of birth, Athens)"
Moira von Wright (born 1957 in Helsinki) is a Swedish academic .,"(Moira von Wright, place of birth, Helsinki)"
"Mohamed Guy William Baldé, just known as William Baldé, is a singer-songwriter and composer born in Guinea .","(William Baldé, place of birth, Guinea)"
"Kindred, born in Buffalo, was a figure in the Greenwich Village/Cambridge folk scene of the 1960s; she played with Bob Dylan and other folk singers, playing at the Cafe Wha? , Club 47, The Bitter End and other venues .","(Lisa Kindred, place of birth, Buffalo)"
"Born in Knoxville, Tennessee, Carringer grew up in Murphy, North Carolina and was highly active as a Boy Scout in his youth .","(Walter Carringer, place of birth, Knoxville)"
"Augusto Huaman Velasco, born in Lima, (Sept 01, 1924 - July 20, 1998) .","(Augusto Huaman Velasco, place of birth, Lima)"
"Warren Carlyle is a director and choreographer who was born in Norwich, Norfolk, England .","(Warren Carlyle, place of birth, Norwich)"
"Joe Warham (born 1920, Warrington, Lancashire) is a rugby league administrator and coach having served Leeds Rugby League Football Club (now Leeds Rhinos) for over forty years .","(Joe Warham, place of birth, Warrington)"
"Michael Prince (born 1963, Rochester, New York) is an industrial designer and the founder of Beyond Design, Inc., a product and strategic design consultancy located in Chicago, IL Beyond Design has grown to become one of the leading industrial design firms in Chicago .","(Michael Prince, place of birth, Rochester)"
Mischa Hiller (born 1962 England) is a British novelist .,"(Mischa Hiller, place of birth, England)"
Anton Muscatelli was born on 1 January 1962 in Italy to Ambrogio and Rosellina Muscatelli .,"(Anton Muscatelli, place of birth, Italy)"
"Didier Andre (born 3 September 1974) is a race car driver born in Lyon, France .","(Didier André, place of birth, Lyon)"
George Rothera (born 12 November 1809 at Nottingham; died 31 October 1841 at Nottingham) was an English cricketer who played first-class cricket from 1835 to 1837 .,"(George Rothera, place of birth, Nottingham)"
"Monica Groop (born 14 April 1958, Helsinki) is a Finnish operatic mezzo-soprano .","(Monica Groop, place of birth, Helsinki)"
"Loïc Jouannigot (b. 1953 in Brittany, France) is a children's book illustrator .","(Lo%C3%AFc Jouannigot, place of birth, Brittany)"
"Born in London, England in 1958, Keith began his racing career while at school as a kart driver in 1973 .","(Keith Wiggins, place of birth, London)"
"Born in Auburn, New York, Howe completed preparatory studies .","(Thomas Y. Howe, Jr., place of birth, Auburn)"
"Born in Chicago, Miller attended college in his home state of Illinois at Bradley University in Peoria and Governors State University in University Park, earning respectively Bachelor of Science degrees in English Literature and Physical Education and a Masters of Arts degree in Contemporary English Literature .","(Steve Miller, place of birth, Chicago)"
"Geno Arce, born in Portland, Oregon, started playing bass in the clubs at age 16 opening for bands like Black 'n Blue and Fire Eye .","(Geno Arce, place of birth, Portland)"
"Andy Buist born 25 August 1984 in Norwich, England is a rugby union player for Newcastle Falcons in the Guinness Premiership .","(Andy Buist, place of birth, Norwich)"
"Todd Jay Weinstein (born 1951) is a photographer and artist, born in Detroit, Michigan, and who now lives in New York City .","(Todd Jay Weinstein, place of birth, Detroit)"
"Born in Quebec, he was the son of Robert McGreevy, a blacksmith, and Rose Smith .","(Thomas McGreevy, place of birth, Quebec)"
Martin Zobel (born 25 February 1957 in Tallinn) is an Estonian plant ecologist and professor at the University of Tartu .,"(Martin Zobel, place of birth, Tallinn)"
"Keppel Harcourt Barnard (31 March 1887 London -- 22 September 1964 Cape Town), was a South African zoologist and museum director .","(Keppel Harcourt Barnard, place of birth, London)"
"Bill Kaiserman (born 8 September 1942 Brooklyn, New York) is a four-time Coty Award-winning designer (1974; 1975; 1976; 1978) .","(Bill Kaiserman, place of birth, Brooklyn)"
"Born in Chicago, Yoria started to play guitar very late while he was attending the University of Houston .","(Arthur Yoria, place of birth, Chicago)"
"John Skoyles (b. 1949 in Queens, New York) is an American poet and writer .","(John Skoyles, place of birth, Queens)"
"Stéphan Perrot (born 19 June 1977 in Nice) is a breaststroke swimmer from France, who won the gold medal in the men's 200 metres breaststroke event at the 1999 European Championships in Istanbul .","(Stéphan Perrot, place of birth, Nice)"
"Gijs Vermeulen (born May 7, 1981, Amsterdam) is a rower from the Netherlands .","(Gijs Vermeulen, place of birth, Amsterdam)"
"Jill Crossland is an English pianist, born in Yorkshire .","(Jill Crossland, place of birth, Yorkshire)"
"Andrej Šeban, born in Bratislava on June 26, 1962, is a well-known Slovak jazz fusion guitarist .","(Andrej Šeban, place of birth, Bratislava)"
"Andrei Babitsky (, born September 26, 1964, in Moscow) is a Russian journalist and war reporter, who has worked for Radio Liberty since 1989, covering the 1991 August Coup, Civil War in Tajikistan and, most notably, both Chechen Wars from behind Chechen lines .","(Andrei Babitsky, place of birth, Moscow)"
"Born in Manila, the Philippines, as Isabel Rosario Cooper, she was the recipient of the first on-screen kiss in a Filipino movie, Ang Tatlong Hambog (1926) .","(Elizabeth Cooper, place of birth, Manila)"
"Born in Ponce, in 1853, Simon Moret Gallart was a descendant of a French immigrant by the same name (Simon Moret) who settled in Puerto Rico in 1816 .","(Sim%C3%B3n Moret Gallart, place of birth, Ponce)"
"Marvin Delph (born in 1957 in Conway, Arkansas) is a retired American basketball player, who experienced his greatest success at the college level .","(Marvin Delph, place of birth, Conway)"
"Daniel Rosenfeld (born in Palestine, October 19, 1929) is a writer and expert on the Israeli-Palestinian conflict .","(Daniel Rosenfeld, place of birth, Palestine)"
"George was born at Chichester in Sussex, where his father, William Smith, was a tradesman and Baptist minister .","(George Smith, place of birth, Chichester)"
"Born in Sydney, Suzie became a dancer as soon as she could walk .","(Suzie Malone, place of birth, Sydney)"
"Sir John Terence Nicholls O'Brien (April 23, 1830 -- February 28, 1903) was a surveyor, engineer and colonial governor, born in Manchester, England and died in London, England .","(Terence O'Brien, place of birth, Manchester)"
Frank Bathurst Edwards (6 September 1887 -- 5 March 1983) was an Australian politician .,"(Frank Edwards, place of birth, Bathurst)"
"Ambalavaner Sivanandan (born 20 December 1923 Colombo) is a Sri Lankan novelist, and director of the Institute of Race Relations, a London-based independent educational charity .","(Ambalavaner Sivanandan, place of birth, Colombo)"
"Konstantin Matusevich (; born 25 February 1971 in Kiev, in the Ukrainian SSR of the Soviet Union) is a retired Israeli high jumper .","(Konstantin Matusevich, place of birth, Kiev)"
"Moshe Shekel (born in 1958 in Haifa, Israel), was graduated from the law faculty of Tel-Aviv University (1985); During his studies, he served as a research fellow and assistant lecturer in the field of tax law, both in the faculty of law and in the accounting department of the faculty of management .","(Moshe Shekel, place of birth, Haifa)"
"Leo Fernandez is a current amateur and former professional snooker player born in Limerick, Ireland and living in London, England .","(Leo Fernandez, place of birth, Limerick)"
"Norman Mann (March 3, 1914 -- February 9, 1994) was a professional ice hockey player who played 31 games in the National Hockey League .","(Norman Mann, place of birth, Bradford)"
"Tariq Iqbal (b. 1964 in Nairobi, Kenya) is a Kenyan cricketer .","(Tariq Iqbal, place of birth, Nairobi)"
"Ludvig Drescher (July 21, 1881 in Sønderborg -- July 14, 1917 in Copenhagen) was a Danish amateur football (soccer) player in the goalkeeper position .","(Ludvig Drescher, place of birth, Copenhagen)"
"Cliff Bergere (December 6, 1896 Toledo, Ohio - June 18, 1980 Dade City, Florida) was an American racecar driver .","(Cliff Bergere, place of birth, Toledo)"
"John Benjamin Henck (October 20, 1815 Philadelphia - January 3, 1903 Montecito, California) was a classical scholar and civil engineer .","(John Benjamin Henck, place of birth, Philadelphia)"
"Jason Pyrah (born April 6, 1969, Springfield, Missouri) is an American athlete who participated in the 1500-meter run at the 1996 and 2000 Summer Olympics .","(Jason Pyrah, place of birth, Springfield)"
"Gareth Russell is a British author, best known for writing the novel Popular .","(Gareth Russell, place of birth, Belfast)"
"Born in Birmingham, Fisher spent his entire working life at the National Union of Public Employees, serving as General Secretary from 1968 to 1982 .","(Alan Fisher, place of birth, Birmingham)"
"Aytoun was born at Edinburgh, the son of John Aytoun of Inchdairnie, Fifeshire and his wife Margaret Anne Jeffery, daughter of J Jeffery MD He was educated at Trinity College, Cambridge graduating BA in 1845 and MA in 1848 .","(Roger Sinclair Aytoun, place of birth, Edinburgh)"
"Born in Ohio in 1961, Robert Owens grew up singing in church, but years later, he was working as a DJ in 1985, when he met Chicago producer Larry Heard .","(Robert Owens, place of birth, Ohio)"
"Born in Manhattan, Quittner grew up in Reading, Pennsylvania .","(Josh Quittner, place of birth, Manhattan)"
"John Bernhard (born May 17, 1957, Geneva, Switzerland) is a Swiss American artist and photographer best known for his surrealist nude studies .","(John Bernhard, place of birth, Geneva)"
Douglas Paulson (born 1980 Pennsylvania) is an artist based in New York City .,"(Douglas Paulson, place of birth, Pennsylvania)"
"Stevenson was born at Glasgow, the son of James Stevenson, a merchant of Glasgow and his wife Jane Stewart Shannan, daughter of Alexander Shannan, merchant of Greenock .","(J. J. Stevenson, place of birth, Glasgow)"
"Kajsa Kling born December 25 1988 in Åre, Sweden is a alpine skier who competes in all disciplines .","(Kajsa Kling, place of birth, Sweden)"
"Schreiber was born at Colchester, the eldest son of Lieutenant-Colonel James Alfred Schreiber of Melton, Suffolk and his wife Mary Ware, daughter of Thomas Ware, of Woodfort, County Cork .","(Charles Schreiber, place of birth, Colchester)"
"Adam Macrow (born 23 November 1978, in Victoria) is a professional race car driver now living in Melbourne, Victoria, Australia .","(Adam Macrow, place of birth, Victoria)"
"Born Alwina Schoening in Baltimore, Valleria attended the Royal Academy of Music in London, making her operatic debut in 1871 in St Petersburg .","(Alwina Valleria, place of birth, Baltimore)"
"Bardsley was born at Nottingham on 7 July, 1801 .","(James Lomax Bardsley, place of birth, Nottingham)"
"Born Bernard Lowenthal in Philadelphia, Lowe started Teen Records and in 1955 was working with Freddie Bell and the Bellboys .","(Bernie Lowe, place of birth, Philadelphia)"
"Hakim Toumi (Arabic: الحكيم التومي; born January 30, 1961 in Algiers, Algiers Province) is a retired male hammer thrower from Algeria .","(Hakim Toumi, place of birth, Algiers)"
"Born in London, West attended Marlborough College before his national service spell in Trieste awakened a lifelong interest in Yugoslavia .","(Richard West, place of birth, London)"
